City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,North Bend,US,52.86,broken clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
2,Jamestown,US,54.99,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
3,Komsomolskiy,UZ,51.22,mist,40.4272,71.7189,Ikathouse
5,Bredasdorp,ZA,69.28,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
9,Shache,CN,41.88,scattered clouds,38.4167,77.2406,Delong Hotel
12,Half Moon Bay,US,57.88,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
13,Albany,US,40.95,overcast clouds,42.6001,-73.9662,
14,Besikduzu,TR,44.49,overcast clouds,41.052,39.2284,Belek Palas Hotel
15,Samfya,ZM,65.41,light rain,-11.3649,29.5565,Chita Lodge Samfya
17,Neuquen,AR,60.69,clear sky,-38.9516,-68.0591,Hotel del Comahue
19,Ushuaia,AR,42.46,scattered clouds,-54.8,-68.3,Albatross Hotel
23,Castro,BR,64.27,clear sky,-24.7911,-50.0119,CHACARA BAILLY
24,Broome,US,44.02,clear sky,42.2506,-75.833,Chenango Valley State Park
39,Vila Franca Do Campo,PT,64.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
41,Nanyang,CN,51.17,light rain,32.9947,112.5328,Wolong Memory Hotel
43,Port Lincoln,AU,64.65,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
45,San Carlos De Bariloche,AR,51.55,broken clouds,-41.1456,-71.3082,Hotel Patagonia
46,New Norfolk,AU,61.66,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
48,Tankara,IN,67.06,clear sky,22.6667,70.7333,"Sama Non-veg Hotel, Tankara"
49,Punta Arenas,CL,44.71,clear sky,-53.15,-70.9167,Hotel Hain
51,Port Elizabeth,ZA,68.29,clear sky,-33.918,25.5701,39 On Nile Guest House
56,Kalabo,ZM,67.15,light rain,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
59,Antofagasta,CL,68.68,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
60,Ilulissat,GL,30.22,overcast clouds,69.2167,-51.1,Hotel Arctic
61,San Lawrenz,MT,51.85,clear sky,36.0553,14.204,San Andrea Hotel
64,Patrocinio,BR,68.32,clear sky,-18.9439,-46.9925,Guines Palace Hotel 34-99816-3311
66,Shingu,JP,49.19,few clouds,33.7333,135.9833,Shingu UI Hotel
69,Nola,IT,48.54,overcast clouds,40.922,14.5329,Palazzo Giordano Bruno
74,Capaci,IT,49.75,clear sky,38.1711,13.2393,Hotel Sirenetta
77,Hobart,AU,62.06,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
79,Constitucion,CL,55.47,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
84,Olafsvik,IS,34.21,snow,64.8945,-23.7142,Hotel Olafsvik
85,Oarai,JP,50.45,clear sky,36.3167,140.6,Oarai Hotel
86,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
87,Saldanha,ZA,66.16,clear sky,-33.0117,17.9442,Blue Bay Lodge
94,Nantucket,US,37.99,broken clouds,41.2835,-70.0995,Jared Coffin House
95,Medea,DZ,39.65,overcast clouds,36.2642,2.7539,Hôtel M'Sallah
96,Ribeira Grande,PT,62.15,broken clouds,38.5167,-28.7,Quinta da Meia Eira
97,La Palma,US,58.05,scattered clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
98,Kruisfontein,ZA,63.79,clear sky,-34.0033,24.7314,Oyster Bay House Rental
102,Katsuura,JP,50.14,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
105,Dalbandin,PK,62.69,broken clouds,28.8947,64.4101,Sanjrani House
106,Itigi,TZ,64.31,light rain,-5.7,34.4833,Hostel San Sebastiano
108,Faya,SA,59.11,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
110,Gat,IL,61.39,broken clouds,31.61,34.7642,OlusHome
111,Linxia,CN,39.16,clear sky,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
113,Lebu,CL,56.98,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
119,Ponta Do Sol,PT,65.07,scattered clouds,32.6667,-17.1,Hotel do Campo
122,Fairbanks,US,33.24,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
